Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total_On_Board,Total_Fatal_Serious,Injury_Fraction,Destroyed,make_model
20050513X00606,Incident,MIA05IA087,2005-03-10,"Jacksonville, FL",United States,30.336389,-81.514444,KCRG,Craig Municipal,Incident,Minor,N8160C,Cirrus Design Corp.,SR20,No,1,Piston,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,13-09-2005,2.0,0.0,0.0,False,Cirrus Design Corp. SR20
20050407X00426,Accident,NYC05LA059,2005-03-11,"CAMERON, WV",United States,39.756389,-80.559167,,,Non-Fatal,Substantial,N5946W,Piper,PA-28-160,No,1,Piston,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,13-09-2005,1.0,0.0,0.0,False,Piper PA-28-160
20050713X01003,Accident,LAX05LA227,2005-03-11,"PHOENIX, AZ",United States,33.307778,-111.655556,,Unknown,Non-Fatal,Substantial,N2882R,Piper,PA-28R-200,No,1,Piston,Instructional,0.0,0.0,0.0,2.0,VMC,Unknown,Probable Cause,29-08-2006,2.0,0.0,0.0,False,Piper PA-28R-200
20050405X00416,Accident,LAX05CA111,2005-03-11,"EMIGRANT GAP, CA",United States,39.274723,-120.709722,KBLU,Blue Canyon - Nyack Airport,Non-Fatal,Substantial,N4682G,Cessna,172A,No,1,Piston,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-06-2005,1.0,0.0,0.0,False,Cessna 172A
20050426X00503,Accident,DFW05CA095,2005-03-11,"MARVELL, AR",United States,34.512222,-90.978334,NONE,(Pvt) Gibbons Flying Service,Non-Fatal,Substantial,N8422V,Ayres,S-2R,No,1,Turboprop,Aerial Application,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,07-07-2005,1.0,0.0,0.0,False,Ayres S-2R
20050328X00368,Accident,SEA05LA065,2005-03-12,"GRAHAM, WA",United States,46.990277,-122.218611,,,Non-Fatal,Substantial,N5509M,Maule,M-7-235C,No,1,Piston,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-10-2005,1.0,0.0,0.0,False,Maule M-7-235C
20050406X00420,Accident,SEA05CA062,2005-03-12,"GOODING, ID",United States,42.917223,-114.765278,GNG,Gooding Municipal,Non-Fatal,Substantial,N5953A,Cessna,172,No,1,Piston,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,08-06-2005,1.0,0.0,0.0,False,Cessna 172
20050316X00319,Accident,LAX05LA112,2005-03-12,"THERMAL, CA",United States,33.626667,-116.159444,TRM,Jacqueline Cochran Regional,Non-Fatal,Substantial,N5311V,Hiller,UH-12B,No,1,Piston,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,30-05-2006,2.0,0.0,0.0,False,Hiller UH-12B
20050331X00386,Accident,DFW05CA087,2005-03-12,"LANCASTER, TX",United States,32.568056,-96.718056,,,Non-Fatal,Substantial,N6211Z,Cessna,TU206G,No,1,Piston,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,08-06-2005,2.0,0.0,0.0,False,Cessna TU206G
20050405X00412,Accident,ATL05CA062,2005-03-12,"Redstone Arsnl, AL",United States,34.671945,-86.692222,KHUA,Redstone AAF,Non-Fatal,Destroyed,N5456K,Cessna,172P,No,1,Piston,Personal,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,08-06-2005,1.0,0.0,0.0,True,Cessna 172P
20050321X00344,Accident,SEA05LA064,2005-03-13,"SHELTON, WA",United States,47.233333,-123.1475,SHN,Sanderson Field Airport,Non-Fatal,Substantial,N96985,Cessna,182Q,No,1,Piston,Other Work Use,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,13-09-2005,2.0,0.0,0.0,False,Cessna 182Q
20050428X00520,Accident,SEA05CA059,2005-03-13,"MANZANITA, OR",United States,54.695833,-123.931389,3S7,Nehalem Bay Airport,Non-Fatal,Substantial,N4076D,Cessna,182A,No,1,Piston,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,07-07-2005,2.0,0.0,0.0,False,Cessna 182A
20050322X00345,Accident,MIA05LA077,2005-03-13,"DELAND, FL",United States,29.104167,-81.313611,1J6,BOB LEE FLIGHT STRIP,Non-Fatal,Substantial,N14420,Let,Blanik L-13,No,0,,Personal,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,20-12-2005,1.0,1.0,1.0,False,Let Blanik L-13
20050321X00340,Accident,MIA05LA076B,2005-03-13,"BRADFORDVILLE, FL",United States,30.609166,-84.296389,TLH,TALLAHASSEE REGIONAL,Non-Fatal,Substantial,N4617C,Cessna,210N,No,1,Piston,Personal,0.0,0.0,0.0,4.0,VMC,Cruise,Probable Cause,31-01-2006,4.0,0.0,0.0,False,Cessna 210N
